,UID,name,rating,brewery,style,abv
99,266,Black Butte XXIX,4.15,Deschutes Brewery,American Imperial Porter,12.20
100,59,Brewer's Reserve Bourbon Barrel Peruvian Morning,4.0,Central Waters Brewing Co.,American Imperial Stout,11.70
101,266,Brewer's Reserve Bourbon Barrel Scotch Ale,3.9,Central Waters Brewing Co.,Scotch Ale / Wee Heavy,12.00
102,266,Buffalo Sweat - German Chocolate Cake,3.83,Tallgrass Brewing Co. Tap House,English Sweet / Milk Stout,5.00
103,3,Cap De Night,8.24,Odd Side Ales,American Imperial Stout,11.00
104,266,Cherry Cordial (Blackwater Series),3.9,Southern Tier Brewing Company,American Imperial Stout,10.00
105,200,Cherry Stout,3.28,Bell's Brewery - Eccentric Café & General Store,American Stout,7.00
106,266,Chubby Squirrel,3.8,Right Brain Brewery,Herb and Spice Beer,5.50
107,266,Contemporary Works - Surround,3.79,Stillwater Artisanal Ales,American Imperial Stout,10.00
108,266,D.O.R.I.S. The Destroyer,4.31,Hoppin' Frog Brewery,Russian Imperial Stout,10.50
109,266,Dark Force,4.1,HaandBryggeriet,Russian Imperial Stout,9.00
110,266,Dugges / Stillwater - Cocoa Cacao,4.35,Dugges Ale- & Porterbryggeri AB,American Imperial Stout,11.50
111,259,Evil Twin / Lervig - Big Ass Money Stout 3,4.5,Evil Twin Brewing,American Imperial Stout,17.20
112,216,Flying Buffalo - Bourbon Barrel-Aged - Hazelnut And Coffee,4.12,Griffin Claw Brewing Company,American Imperial Stout,14.00
113,266,Hammer Of The Holy,4.24,Clown Shoes,American Imperial Stout,11.00
114,62,Imperial Cinnamon Roll Ale,4.1,Southern Tier Brewing Company,American Strong Ale,8.60
115,266,Imperial Milkshake Stout - Bourbon Barrel-Aged,4.18,Rochester Mills Beer Co.,American Imperial Stout,13.00
116,266,La Pinguina En Fuego,4.15,Clown Shoes,American Imperial Stout,11.00
117,266,Monkey Butter,4.0,Jaden James Brewery,English Porter,5.50
118,251,Morningwood,4.54,Odd Side Ales,American Imperial Stout,9.50
119,266,Mule Beer,3.6,Short's Brewing Company,American Cream Ale,4.50
120,266,Night Fury,3.9,Witch's Hat Brewing Co.,Russian Imperial Stout,10.20
121,131,Noa Pecan Mud Cake,4.47,Omnipollo,American Imperial Stout,11.00
122,266,Nutter Your Business Stout,4.27,Grand Armory Brewing,American Stout,5.00
